price,area,bedrooms,bathrooms,stories,mainroad,guestroom,basement,hotwaterheating,airconditioning,parking,prefarea,furnishingstatus
5645287,4800,2,1,1,yes,yes,yes,no,no,0,no,semi-furnished
8131806,9000,4,2,4,yes,yes,no,no,yes,1,yes,furnished
3997663,3120,3,1,2,yes,no,no,no,no,1,no,unfurnished
3839573,3720,2,1,1,no,no,no,no,yes,0,no,unfurnished
4735962,4600,3,2,2,yes,no,no,no,yes,1,no,semi-furnished
11202212,13200,3,1,2,yes,no,yes,no,yes,2,yes,furnished
6012744,8400,3,1,2,yes,yes,yes,no,yes,2,yes,unfurnished
2774526,3000,2,1,1,yes,no,no,no,no,1,no,unfurnished
6767401,3700,4,1,2,yes,yes,no,no,yes,0,no,furnished
9615278,7000,3,1,4,yes,no,no,no,yes,2,no,semi-furnished
4838104,4075,3,1,1,yes,yes,yes,no,no,2,no,semi-furnished
4222336,3630,2,1,1,yes,no,no,no,yes,0,no,unfurnished
